MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	51,941406	Sec	07.07.2010 15:36:15
Datum	07.07.10
Prüfer	Be
Proben Bezeichnung	VII.2 TH-M7-Z23
Bemerkungen	mit dem gemittelten Wert (Druckplattenabstand) der 3 W2TK geregelt, 0,0042mm/sek
Durchmesser in mm	98,5
Länge in mm	299,8
Masse in g	5381,0
Wegaufnehmer HBM (Druckplattenabstand)	W2TK 7733 , -7734 und 7737
Wegaufnehmer MTS	1944A , 1944B und 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	563,96094	Sec	07.07.2010 15:44:47
Laufzeit	Ch 1 Kraft	Ch 1 Weg	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 W2TK Mittel	1944 A	1944 B	1281068	Ch 1 MTS Aufnehmer Mittel
Sec	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm
70,953125	-0,99375844	0,003977865	0,00026630479	-0,00019681454	0,00015549555	7,4995267e-05	-1,1846423e-05	-8,5614622e-05	-1,0734424e-05	-3,6065157e-05
71,453125	-1,0097036	0,0035077333	0,00025187092	-0,00021243095	0,00015251443	6,39848e-05	-3,5507604e-05	-4,331395e-05	-4,4368207e-06	-2,7752792e-05
71,953125	-1,0122266	0,001654774	0,00027111606	-0,00018763542	0,00016789704	8,3792562e-05	-4,221499e-05	-6,1690807e-06	5,8581121e-05	3,399017e-06
72,453125	-0,99295378	0,0027529895	0,00023863987	-0,00022685528	0,0001579997	5,6594767e-05	3,4596771e-05	-9,5136464e-05	8,1322156e-05	6,9274879e-06
72,953125	-0,97659415	0,0026807189	0,00028170089	-0,00017237663	0,0001651544	9,149289e-05	3,9346516e-05	-5,826354e-06	3,7797727e-05	2,3772629e-05
73,453125	-0,99349952	0,0042043626	0,00031104975	-0,000182271	0,00019639661	0,00010839178	-6,2357634e-05	-2,0645559e-05	2,4149194e-05	-1,9617999e-05
73,953125	-0,98153669	0,0021524727	0,00024705962	-0,00019347668	0,00018554532	7,9709418e-05	-6,7587942e-05	-5,4080039e-05	3,9041974e-05	-2,7542002e-05
74,453125	-0,98719263	0,0037945807	0,00025403599	-0,00016868114	0,00017743665	8,7597167e-05	-6,1253086e-05	-3,8165599e-05	3,8240105e-06	-3,1864893e-05
74,953125	-0,95895118	0,0034332275	0,00026606422	-0,00018560886	0,00016288875	8,1114704e-05	-5,7891011e-06	-9,3020499e-05	4,9071386e-06	-3,130082e-05
75,453125	-0,97968894	0,0043228269	0,00031032806	-0,00020468235	0,00017469401	9,3446572e-05	-8,5879117e-05	-6,4350665e-05	6,983988e-06	-4,7748599e-05
75,953125	-0,99550748	0,003015995	0,00030166775	-0,00020325184	0,0001399937	7,9469872e-05	-1,748465e-05	-0,00014473125	1,2415461e-05	-4,9933482e-05
76,453125	-0,97653085	0,0035449862	0,00028194147	-0,00018143654	0,00018888417	9,6463031e-05	1,6413629e-05	-9,7580254e-05	1,85268e-05	-2,0879941e-05
76,953125	-0,97236878	0,00410676	0,00030190832	-0,00016772747	0,00018184871	0,00010534318	1,2420118e-05	-8,7317079e-05	1,2930483e-05	-2,0655492e-05
77,453125	-0,98905432	0,0036403537	0,00027183775	-0,00015676022	0,00018900342	0,00010136032	-2,7436763e-06	-6,0595572e-05	7,1609393e-06	-1,8726103e-05
77,953125	-1,0023341	0,0029690564	0,00031706385	-0,00021076202	0,00017815211	9,481798e-05	-2,5499612e-05	-9,6522272e-05	-4,0348619e-05	-5,4123502e-05
78,453125	-0,98647273	0,0041238964	0,00029421024	-0,00017678738	0,00016074233	9,2721733e-05	1,4197081e-05	-0,00011408329	-5,3187832e-05	-5,1024679e-05
78,953125	-0,97703373	0,0038094819	0,00028506879	-0,00018131733	0,00016586987	8,9873778e-05	-1,3073906e-05	-4,8916787e-05	-2,5509857e-05	-2,9166849e-05
79,453125	-0,98348969	0,0034786761	0,00028988009	-0,00017309189	0,00017099742	9,5928539e-05	-3,1778589e-05	-8,1449747e-05	-0,00013639685	-8,3208397e-05
79,953125	-1,0017902	0,0034578145	0,00028651219	-0,00017797947	0,00014690991	8,5147542e-05	-1,549162e-05	-7,0184469e-05	3,3343211e-05	-1,7444292e-05
80,453125	-1,0041893	0,002540648	0,00030575733	-0,00016093254	0,00017218986	0,00010567155	6,9240108e-05	-8,8870525e-05	-8,0280006e-05	-3,3303473e-05
80,953125	-0,99833405	0,0018827617	0,00031562048	-0,00017130375	0,00016610837	0,00010347503	-5,5005774e-05	-8,3573163e-05	6,0902908e-05	-2,589201e-05
81,453125	-0,98869669	0,0040128827	0,00029709702	-0,000172019	0,0002074864	0,00011085481	1,9744039e-06	-4,2740256e-05	-8,1174076e-06	-1,629442e-05
81,953125	-0,98925179	0,0029265881	0,00029805928	-0,00018239021	0,00017576721	9,7145428e-05	1,4904886e-05	-7,4751675e-05	4,0974468e-05	-6,2907734e-06
82,453125	-1,0026767	0,0023528934	0,0003201912	-0,000197649	0,00019830454	0,00010694892	-2,9889867e-05	-5,0909817e-05	-7,3341653e-06	-2,937795e-05
82,953125	-1,0141413	0,0033281744	0,00032716757	-0,00017786026	0,00019234228	0,00011388319	-7,2233379e-06	-8,7130815e-05	4,8897229e-05	-1,5152308e-05
83,453125	-0,99256539	0,0012263656	0,0003283704	-0,00015306473	0,00016396196	0,00011308921	-1,0449439e-05	-9,1202557e-05	7,5089745e-05	-8,8540837e-06
83,953125	-0,99089092	0,0025957823	0,0003127337	-0,00016772747	0,00017230911	0,00010577178	-3,9607286e-05	-0,0001100786	1,4271587e-05	-4,5138102e-05
84,453125	-0,99675542	0,0021494925	0,00031465822	-0,00015032291	0,00016372347	0,00010935292	-0,00010851771	-0,00010165945	3,9758161e-06	-6,8733782e-05
84,953125	-1,0147458	0,0022687018	0,00033823354	-0,00019574165	0,00018351815	0,00010867001	-3,939122e-05	-0,00011455268	-1,7238781e-06	-5,1889259e-05
85,453125	-1,0119249	0,0015087426	0,0003391958	-0,00018560886	0,00015287216	0,00010215303	-1,8671155e-05	-0,00011470914	-1,9798987e-05	-5,105976e-05
85,953125	-0,99874663	0,0021077693	0,00031465822	-0,00016117096	0,00019114983	0,00011487903	1,8114224e-05	-0,00013441592	-9,5288269e-05	-7,052999e-05
86,453125	-0,98866969	0,0018469989	0,00031778557	-0,00020384789	0,00017063967	9,4859119e-05	2,6773661e-05	-0,0001093857	-5,7816505e-05	-4,6809513e-05
86,953125	-1,0018302	0,0047601759	0,00034713442	-0,00018429756	0,00015478008	0,00010587231	5,3998083e-06	-7,2516501e-05	-9,5454045e-05	-5,4190245e-05
87,453125	-1,0082666	0,0031508505	0,00035868151	-0,00017225742	0,00021559506	0,00013400639	-1,2302771e-05	-9,5933676e-05	4,3780543e-05	-2,1485301e-05
87,953125	-1,0005487	0,0038303435	0,0003377524	-0,00017595291	0,00018149098	0,00011443016	-7,9784542e-05	-9,6872449e-05	-0,00012697931	-0,0001012121
88,453125	-0,98642892	0,0024579465	0,00033751182	-0,00021064281	0,00018602228	0,0001042971	3,9035454e-05	-6,1396509e-05	1,5189871e-05	-2,3903947e-06
88,953125	-0,98438281	0,0016652048	0,00033414393	-0,00019776821	0,00019103059	0,00010913544	-2,239272e-05	-9,2588365e-05	-2,4513341e-05	-4,6498142e-05
89,453125	-0,99263245	0,0042669475	0,0003437665	-0,00017786026	0,0001725476	0,00011281795	5,3737313e-06	-0,00013711303	-1,7297454e-05	-4,9678918e-05
89,953125	-1,0097567	0,004055351	0,00038009175	-0,00019812584	0,0002122562	0,00013140737	-5,7859346e-05	-0,00010821968	9,2172995e-06	-5,2287243e-05
90,453125	-1,0037962	0,0021636486	0,00034689385	-0,00019478798	0,00021165998	0,00012125528	8,8457018e-05	-5,1066279e-05	1,2552366e-05	1,6647702e-05
90,953125	-0,99793357	0,0038422644	0,00033847408	-0,00018727779	0,00019305776	0,00011475135	-2,2016466e-05	-8,3111227e-06	6,4613298e-05	1,1428569e-05
91,453125	-0,99943483	0,0011056662	0,00034929949	-0,00018954277	0,00017409779	0,00011128483	5,5879354e-06	-8,8144094e-05	0,00012199953	1,3147791e-05
91,953125	-0,99388045	0,0036895275	0,00034424764	-0,00018310547	0,00020247811	0,00012120677	3,2583252e-05	-7,5582415e-05	2,0477921e-05	-7,5070807e-06
92,453125	-1,0198131	0,0019848347	0,00036589845	-0,00016176701	0,00020474376	0,00013629174	6,107986e-05	-3,1236559e-05	3,3051707e-05	2,0965002e-05
92,953125	-0,99759454	0,0034928322	0,00036469562	-0,00021636486	0,00019198454	0,00011343843	7,8417361e-07	-5,4217875e-05	1,2394972e-05	-1,3679576e-05
93,453125	-0,99285972	0,0034235418	0,00037095029	-0,00016868114	0,00017230911	0,00012485942	1,2343749e-05	-8,3748251e-05	-7,8845769e-06	-2,6429692e-05
93,953125	-0,98785663	0,0018842518	0,00033173829	-0,00017821789	0,0001593114	0,00010427727	1,1967495e-05	-7,706508e-05	6,3033774e-05	-6,8793696e-07
94,453125	-0,99161828	0,0036761165	0,00034352596	-0,00018393993	0,00016849326	0,00010935976	6,3562766e-05	-8,4046274e-05	-5,2326359e-05	-2,4269955e-05
94,953125	-0,98262542	0,0025101006	0,00038129455	-0,00015676022	0,00019305776	0,00013919736	1,7793849e-05	-5,2623451e-05	-2,5726855e-05	-2,0185485e-05
95,453125	-1,0068295	0,0019721687	0,00035170515	-0,00019562244	0,00019150757	0,00011586343	-2,7967617e-05	-3,637746e-05	-2,5157817e-05	-2,9834298e-05
95,953125	-0,99746788	0,0020757318	0,0004019831	-0,00015628338	0,00021797996	0,00015455989	1,2688339e-05	-5,5562705e-05	-3,654696e-05	-2,6473776e-05
96,453125	-0,98782593	0,0022806227	0,00038201624	-0,00018024445	0,00020176264	0,00013451147	1,2291595e-05	-2,521649e-05	-4,9915165e-05	-2,0946687e-05
96,953125	-0,99141246	0,0024996698	0,00040342647	-0,00018239021	0,00018029854	0,00013377826	-4,2356551e-06	-7,9900026e-05	0,00012697652	1,4280279e-05
97,453125	-0,98799354	0,0040374696	0,00038081344	-0,00018215179	0,00019401171	0,00013089112	8,7432563e-06	-0,0001363419	-5,5748969e-05	-6,1115868e-05
97,953125	-1,00738	0,0041209161	0,00039500673	-0,0001680851	0,00019639661	0,00014110608	-3,7176535e-05	-5,9209764e-05	-7,7988952e-06	-3,4728397e-05
98,453125	-1,000124	0,0022627413	0,00037720497	-0,00019538403	0,00019067284	0,0001241646	1,4415011e-05	-3,3717602e-05	-1,9427389e-05	-1,2909994e-05
98,953125	-0,98288059	0,0021934509	0,0003627711	-0,00018072128	0,00015776121	0,00011327034	-8,8335946e-05	-4,5258552e-05	2,1228567e-05	-3,7455309e-05
99,453125	-0,9772498	0,0035718083	0,00042002543	-0,00016272068	0,00020927508	0,00015552661	1,7244369e-05	-9,0762973e-05	5,7347119e-05	-5,3904951e-06
99,953125	-0,99178308	0,003760308	0,00041713865	-0,00017213821	0,00019735057	0,00014745034	-3,4205616e-05	-5,8397651e-05	-6,3283369e-06	-3,2977201e-05
100,45313	-1,0046092	0,0022262335	0,00041353019	-0,00016915798	0,0001987815	0,0001477179	-4,503876e-05	-8,9425594e-05	2,5422312e-05	-3,6347348e-05
100,95313	-1,0075914	0,0039353967	0,00039356333	-0,00019717216	0,00018065627	0,00012568248	-8,2453713e-05	-4,529953e-06	4,2311847e-05	-1,4890607e-05
101,45313	-0,98988414	0,0041268766	0,00041184624	-0,00016248226	0,00017564798	0,00014167065	-5,4392964e-05	2,1569431e-06	-3,5972334e-05	-2,9402785e-05
101,95313	-0,9790836	0,0043176115	0,00041641697	-0,0001680851	0,00016873176	0,00013902121	9,2238188e-06	-5,672127e-05	7,8327954e-05	1,0276834e-05
102,45313	-0,97678322	0,0015057623	0,00042652065	-0,00015604496	0,00016908949	0,00014652172	-1,3334677e-05	-4,0985644e-05	1,8129125e-05	-1,2063731e-05
102,95313	-0,9867782	0,0033445656	0,00040751608	-0,00017857552	0,00021941091	0,0001494505	3,6858022e-05	-1,9036233e-05	8,0506317e-05	3,2776035e-05
103,45313	-1,000559	0,0017412007	0,00044624694	-0,00017929077	0,00022453844	0,00016383153	-6,5524131e-05	-7,5425953e-05	4,6801753e-05	-3,1382777e-05
103,95313	-0,99753404	0,0030316412	0,00043277533	-0,00017035007	0,00019556189	0,00015266238	-7,2278082e-05	-7,8197569e-05	5,8618374e-05	-3,0619092e-05
104,45313	-0,99483877	0,003914535	0,00043085084	-0,00019025803	0,00022501542	0,00015520274	-2,8178096e-05	-9,5739961e-05	1,6081147e-05	-3,5945635e-05
104,95313	-0,98432231	0,0030294061	0,00045226104	-0,00020599365	0,00022585013	0,0001573725	4,529953e-06	-1,1499971e-05	0,00012636464	3,9798208e-05
105,45313	-0,98611599	0,0029072165	0,00048257216	-0,00020003319	0,00020176264	0,00016143387	1,0972843e-05	-5,9373677e-05	8,0978498e-06	-1,3434328e-05
105,95313	-1,0108222	0,0019364059	0,00049772771	-0,00018966198	0,00023133542	0,00017980038	-5,255267e-05	-8,5242093e-05	3,7767924e-05	-3,3342279e-05
106,45313	-0,99528486	0,004003942	0,00044600636	-0,00019609928	0,00023097768	0,00016029492	-1,2598932e-05	-7,2043389e-05	3,1190924e-05	-1,7817132e-05
106,95313	-0,97583699	0,0028401613	0,00044287904	-0,00018274784	0,00019997396	0,00015336838	3,0465424e-05	-5,1204115e-05	-4,6229921e-05	-2,2322871e-05
107,45313	-0,97961444	0,0044152141	0,00047920426	-0,00015079975	0,00021368715	0,00018069721	-5,1725656e-06	-8,3431602e-05	2,0992942e-05	-2,2537075e-05
107,95313	-0,99403787	0,0026196241	0,00048594008	-0,00018393993	0,00022942749	0,00017714254	3,3518299e-05	-8,4213912e-05	1,0855496e-05	-1,3280039e-05
108,45313	-1,005928	0,002092123	0,00046886	-0,00018334389	0,00019806605	0,00016119405	-3,2830983e-05	-4,0035695e-05	3,6571175e-05	-1,2098501e-05
108,95313	-0,9901365	0,0023007393	0,0004842561	-0,0001462698	0,00023228937	0,00019009189	-6,9737434e-06	-8,2459301e-05	-5,1775016e-05	-4,7069352e-05
109,45313	-0,97833669	0,0021927059	0,00046861943	-0,00016748905	0,0002315739	0,00017756809	4,5381486e-05	-3,7044287e-05	5,278457e-05	2,0373924e-05
109,95313	-0,98714048	0,0037148595	0,00050735031	-0,00015878677	0,00023503201	0,00019453185	-3,654696e-05	-4,7385693e-06	-5,1616691e-05	-3,0967407e-05
110,45313	-0,99483973	0,0043235719	0,00047439299	-0,0001386404	0,00024647953	0,00019407737	-8,1770122e-06	-2,5946647e-05	9,6019357e-06	-8,1739081e-06
110,95313	-0,99000239	0,0022023916	0,00050710974	-0,0001680851	0,0002146411	0,00018455525	-8,1785023e-05	-0,00013474375	5,8406033e-05	-5,2707579e-05
111,45313	-0,98502636	0,002438575	0,00050735031	-0,00016248226	0,00026496252	0,00020327685	-9,4994903e-05	-4,3626875e-05	7,407181e-05	-2,1516656e-05
111,95313	-0,97022671	0,0015370548	0,00050542579	-0,00014483929	0,00025244179	0,00020434277	-3,1122938e-05	-0,00013368204	-4,2603351e-05	-6,9136113e-05
112,45313	-0,96646416	0,0042155385	0,00051432668	-0,00012505054	0,00025518442	0,00021482019	1,9552186e-05	-2,3491681e-05	7,5267628e-05	2,3776045e-05
112,95313	-0,97423232	0,0035181642	0,00049075135	-0,00016140938	0,00026186215	0,00019706805	4,798919e-05	6,2398612e-06	-7,5178221e-05	-6,9830567e-06
113,45313	-0,98963451	0,0016435981	0,0005128833	-0,00017249584	0,00027855646	0,00020631464	-3,9709732e-05	-7,4651092e-05	5,8413483e-05	-1,8649114e-05
113,95313	-0,990632	0,0020064414	0,00049796829	-0,00013911724	0,00025768857	0,00020551321	-3,3240765e-05	-0,00012876093	-0,00010415446	-8,871872e-05
114,45313	-0,98835492	0,0020302832	0,00051119935	-0,00019860268	0,00024743349	0,00018667673	-4,3680891e-05	-0,00013549253	-5,3196214e-05	-7,7456549e-05
114,95313	-0,99536407	0,0020958483	0,00049941166	-0,00020205975	0,00025852327	0,00018529173	-3,4505501e-05	-2,1249056e-05	1,4171936e-05	-1,3860874e-05
115,45313	-0,97324419	0,0033117831	0,00047367127	-0,00018560886	0,00026865912	0,00018557384	-3,0456111e-05	-6,6779554e-05	-6,6525303e-05	-5,4586988e-05
115,95313	-0,98400658	0,0022560358	0,00050903426	-0,00017726421	0,000277841	0,00020320369	9,7969547e-05	-2,7548522e-05	9,2149712e-05	5,4190245e-05
116,45313	-0,97810197	0,0045306981	0,00051528891	-0,00015211105	0,00024802971	0,00020373585	1,5899539e-05	-9,7040087e-05	-1,7863698e-05	-3,3001415e-05
116,95313	-0,98273158	0,0020004809	0,00052779826	-0,00017821789	0,0002315739	0,00019371809	1,2371689e-05	-0,00011159852	4,8043206e-05	-1,7061209e-05
117,45313	-0,99412727	0,0043988228	0,00050855312	-0,00014650822	0,00028106061	0,0002143685	2,2180378e-05	-2,9515475e-05	1,9932166e-05	4,1990229e-06
117,95313	-1,0079815	0,0034198165	0,00051673228	-0,00017356873	0,00027474063	0,00020596806	-7,0242211e-05	-5,9563667e-05	6,4742751e-05	-2,1687709e-05
118,45313	-1,0094968	0,0037416816	0,0005328501	-0,00015771389	0,00029763568	0,0002242573	3,1678006e-05	-0,00014059991	6,9279224e-05	-1,3214226e-05
118,95313	-1,0135425	0,002168864	0,00054295384	-0,00014960766	0,00027962966	0,00022432528	-7,1413815e-05	-9,6999109e-05	8,3300285e-05	-2,837088e-05
119,45313	-1,0234686	0,0031232834	0,0005391048	-0,00018835068	0,00030920244	0,00021998552	-6,7520887e-05	-0,00010249391	3,7070364e-05	-4,4314813e-05
119,95313	-1,0107607	0,003644079	0,0005470434	-0,00017797947	0,00027164025	0,00021356806	6,9830567e-06	-8,9406967e-05	2,3189932e-07	-2,7397336e-05
120,45313	-1,003773	0,0043094158	0,00056436408	-0,00019204617	0,00027366742	0,00021532844	6,0386956e-06	-8,5420907e-05	-5,4948032e-07	-2,6643896e-05
120,95313	-1,2662103	-0,0023402274	-0,00095335668	-0,0016251802	-0,0020454105	-0,0015413158	0,00010433607	-7,7884644e-05	-0,00010423549	-2,592802e-05
121,45313	-1,6306732	-0,00417009	-0,0022699656	-0,0041366816	-0,0047695637	-0,0037254037	5,4640695e-05	-0,00031379238	-0,00023279525	-0,00016398232
121,95313	-2,0913761	-0,0071927905	-0,0035071883	-0,0071172714	-0,0068790088	-0,0058344896	8,3055347e-05	-0,00049281493	-0,00053851027	-0,00031608995
122,45313	-2,604425	-0,010442734	-0,0046977415	-0,010010839	-0,0091270171	-0,0079451986	7,0501119e-06	-0,00082724169	-0,00079534296	-0,00053851149
122,95313	-3,0780098	-0,015350431	-0,0058986386	-0,012250185	-0,011077628	-0,0097421501	1,5513971e-05	-0,0010166503	-0,0010899855	-0,00069704064
123,45313	-3,3599315	-0,015027076	-0,0064574699	-0,013413429	-0,012281884	-0,010717594	-4,6992674e-05	-0,0011773296	-0,0011687409	-0,00079768774
123,95313	-4,459434	-0,021037459	-0,0090945363	-0,017402291	-0,016396793	-0,014297874	-0,00015408918	-0,0015668049	-0,0017102594	-0,0011437178
124,45313	-5,3018312	-0,025045127	-0,01089925	-0,019824743	-0,01842205	-0,016382014	-0,00039562583	-0,0019247867	-0,0021471996	-0,001489204
