Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-92.172714,-0.038994927,-0.034258302,-0.038883045
-90.244568,-0.038364943,-0.033619806,-0.038230658
-88.556053,-0.037791625,-0.033053394,-0.037679926
-86.756622,-0.037207671,-0.032571845,-0.037057683
-84.637596,-0.036479503,-0.03185432,-0.036355391
-82.471344,-0.03561927,-0.031137226,-0.035582468
-80.531273,-0.035010267,-0.030488634,-0.034844115
-78.780968,-0.034438998,-0.030005412,-0.034258902
-77.002602,-0.033849403,-0.029454865,-0.033583492
-74.896179,-0.03316078,-0.028734919,-0.032784984
-72.693321,-0.032344699,-0.028038824,-0.032056317
-70.729126,-0.0316494,-0.027339831,-0.031307384
-68.959747,-0.031060722,-0.026762906,-0.0306945
-67.181839,-0.030470505,-0.026277473,-0.03002812
-65.186577,-0.029723972,-0.025549551,-0.029308096
-62.995533,-0.028920617,-0.02490293,-0.028497174
-60.986801,-0.028288506,-0.024311885,-0.027759105
-59.199017,-0.027571552,-0.023695186,-0.027100474
-57.467846,-0.026872586,-0.023121256,-0.02643849
-55.460197,-0.026059519,-0.022441667,-0.025712624
-53.286419,-0.025299255,-0.021715436,-0.024862096
-51.24192,-0.024527013,-0.021186611,-0.024094045
-49.443375,-0.023854103,-0.020448353,-0.023326695
-47.677402,-0.023174379,-0.019903572,-0.022652224
-45.716988,-0.022365268,-0.0192567,-0.021902099
-43.529739,-0.021525698,-0.018530928,-0.021058753
-41.501976,-0.0207476,-0.017880933,-0.020311788
-39.690449,-0.019983556,-0.017235907,-0.019528404
-37.887653,-0.019241951,-0.016724644,-0.01886408
-35.953438,-0.018591153,-0.016089505,-0.018103421
-33.787018,-0.017666413,-0.015284974,-0.017171592
-31.70796,-0.016775157,-0.01462183,-0.016373232
-29.96645,-0.016074045,-0.01402323,-0.015604377
-28.14188,-0.015363811,-0.013298225,-0.014839023
-26.226919,-0.014569066,-0.01273827,-0.014036089
-24.03569,-0.013608688,-0.011883668,-0.013083309
-22.010756,-0.01283686,-0.011242045,-0.012225613
-20.135509,-0.011983039,-0.010604413,-0.011435524
-18.382917,-0.011268523,-0.0098762941,-0.010695875
-16.498198,-0.010500301,-0.009214147,-0.0098789483
-14.366249,-0.0095810294,-0.0085370839,-0.0089524835
-12.286904,-0.008613633,-0.0077612363,-0.0081068277
-10.451304,-0.0078283008,-0.0070773531,-0.0073140711
-8.6624613,-0.0070601795,-0.0063511506,-0.0064579397
-6.756248,-0.0061693154,-0.0055688499,-0.0056475699
-4.7026911,-0.0052021034,-0.0047825081,-0.0047972351
-4.4137387,-0.0050871866,-0.0046293624,-0.0046359003
-6.7100339,-0.0058621885,-0.0053518377,-0.0053347796
