MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	38,506836	Sec	05.07.2010 15:35:46
Datum : 	05.07.2010
Prüfer : 	Machura
Probenbezeichnung :  	TH-M7-Z13
Bemerkungen	Kraftgeregelt 3,9 kN/s
Bemerkung 	
Taster	-
Länge in mm	299,5
Höhe in mm	Durchmesser: 98,8
Breite in mm	-
Masse in g	5425,0
zusätzlich MTS Aufnehmer	1944A, 1944B, 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	481,86328	Sec	05.07.2010 15:43:09
Laufzeit	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
Sec	kN	mm	mm	mm	mm
88,517578	-119,1944	-0,35267398	-0,050049298	-0,042858332	-0,043811869
89,017578	-117,24026	-0,34917369	-0,049478836	-0,042241972	-0,043040041
89,517578	-115,23701	-0,34405068	-0,048854291	-0,041608281	-0,042443193
90,017578	-113,32854	-0,3398411	-0,048241593	-0,041060813	-0,041859295
90,517578	-111,35964	-0,33804923	-0,047726661	-0,040464513	-0,041263398
91,017578	-109,43137	-0,33214912	-0,047087178	-0,039871983	-0,040582508
91,517578	-107,61846	-0,32983497	-0,046448834	-0,039345402	-0,039940391
92,017578	-105,64838	-0,32694489	-0,045855731	-0,038850263	-0,039327677
92,517578	-103,48626	-0,3227897	-0,045140803	-0,038137536	-0,03848977
93,017578	-101,55104	-0,31692609	-0,044560142	-0,037623256	-0,037928581
93,517578	-99,609093	-0,31421632	-0,043901607	-0,036933519	-0,037215319
94,017578	-97,684593	-0,31027421	-0,043293007	-0,036407132	-0,036669627
94,517578	-95,972733	-0,30774698	-0,042682894	-0,035817787	-0,036046714
95,017578	-93,978897	-0,30243546	-0,042028524	-0,035212938	-0,035339225
95,517578	-91,996323	-0,30003637	-0,041314725	-0,034528088	-0,034702595
96,017578	-90,013802	-0,29440746	-0,040757567	-0,03395531	-0,034002706
96,517578	-88,025734	-0,28971136	-0,04003071	-0,033405155	-0,033298455
97,017578	-86,064995	-0,28573945	-0,03943041	-0,032753091	-0,032589778
97,517578	-84,107567	-0,28293356	-0,038729623	-0,032114029	-0,03185264
98,017578	-82,125801	-0,27741864	-0,038140673	-0,031467684	-0,031244114
98,517578	-80,178284	-0,27472451	-0,037437785	-0,030902088	-0,030485313
99,017578	-78,225288	-0,27157515	-0,036790255	-0,030269863	-0,029889334
99,517578	-76,260971	-0,26525706	-0,035997123	-0,029624764	-0,029167142
100,01758	-74,311569	-0,26117414	-0,035421416	-0,028983908	-0,028445665
100,51758	-72,358055	-0,25722012	-0,034630112	-0,028376628	-0,027754627
101,01758	-70,432465	-0,2522096	-0,033995237	-0,027766911	-0,027030993
101,51758	-68,448906	-0,24829581	-0,033308104	-0,027122783	-0,026393753
102,01758	-66,524109	-0,24419129	-0,032634087	-0,026466526	-0,025587738
102,51758	-64,579285	-0,23831278	-0,031968169	-0,025921561	-0,024973746
103,01758	-62,603004	-0,23423582	-0,031285703	-0,025284944	-0,024205595
103,51758	-60,680763	-0,23046508	-0,030450651	-0,024649017	-0,023314025
104,01758	-58,731976	-0,22589862	-0,02978082	-0,024078337	-0,022720575
104,51758	-56,794891	-0,22069365	-0,029013898	-0,023457685	-0,021942176
105,01758	-54,841347	-0,21479651	-0,028309386	-0,022786895	-0,021226507
105,51758	-52,886559	-0,21014735	-0,027518	-0,022136075	-0,020509247
106,01758	-50,918343	-0,20441413	-0,026719416	-0,021493031	-0,019690517
106,51758	-48,970078	-0,20072684	-0,025934549	-0,02084171	-0,01902179
107,01758	-46,999413	-0,19417033	-0,025194146	-0,020243967	-0,018244442
107,51758	-45,066479	-0,18933788	-0,024434613	-0,019607387	-0,017492171
108,01758	-43,113155	-0,18322691	-0,023649205	-0,018928008	-0,016812056
108,51758	-41,191162	-0,17844737	-0,022799179	-0,018266546	-0,01602865
109,01758	-39,240932	-0,17262995	-0,021992445	-0,017690469	-0,015372653
109,51758	-37,286415	-0,16856343	-0,02118488	-0,017070698	-0,014582772
110,01758	-35,325802	-0,16314313	-0,02023346	-0,016284553	-0,013853755
110,51758	-33,375126	-0,15737116	-0,019374803	-0,015720922	-0,013167769
111,01758	-31,419376	-0,15032887	-0,018457007	-0,015043056	-0,012555607
111,51758	-29,483515	-0,14315546	-0,017666593	-0,014370767	-0,011802802
112,01758	-27,528896	-0,13822541	-0,016730545	-0,013754573	-0,011092257
112,51758	-25,562147	-0,13072863	-0,015720561	-0,013002999	-0,010411581
113,01758	-23,650196	-0,12475252	-0,014763609	-0,012263072	-0,0097304527
113,51758	-21,700226	-0,11743754	-0,013844483	-0,011722187	-0,0091183744
114,01758	-19,748644	-0,11268035	-0,012888196	-0,010957875	-0,0083407983
114,51758	-17,783762	-0,10569096	-0,011812074	-0,010292967	-0,0076789726
115,01758	-15,844206	-0,098416209	-0,010905047	-0,009500524	-0,0070476308
115,51758	-13,904832	-0,09001866	-0,0099796494	-0,0086923512	-0,0064341389
116,01758	-11,964247	-0,080366433	-0,0089818155	-0,0079797152	-0,0059121642
116,51758	-9,9996424	-0,073439628	-0,0080810273	-0,0069815214	-0,0052924436
